No,D1160_90,Target_90,D1160_95,Target_95
1,721,764,799,855
2,666,723,721,789
3,648,748,691,829
4,862,914,972,1048
5,625,644,663,691
6,647,651,694,701
7,634,659,678,709
8,659,5682,703,732
9,645,730,682,801
10,639,662,683,714
11,624,655,665,707
12,633,646,678,694
13,647,690,700,758
14,629,630,673,670
15,634,649,682,711
16,521,522,539,544
17,489,524,502,550
18,467,517,478,535
19,504,508,524,530
20,502,517,520,541
21,456,455,466,464
22,527,526,555,546
23,443,448,450,457
24,515,514,526,531
25,688,721,735,786
26,666,676,723,736
27,674,722,731,802
28,631,651,672,701
29,633,639,673,687
30,611,654,649,710
31,629,650,671,701
32,651,648,695,690
33,650,679,697,741
34,633,653,676,705
35,629,641,671,686
36,725,747,787,826
37,673,734,722,806
38,642,666,686,717
39,632,673,676,730
40,638,713,681,790
41,641,682,686,744
42,640,652,689,699
43,635,663,681,718
44,648,658,698,710
45,655,683,706,741
46,708,771,763,846
47,641,675,683,729
48,787,805,859,885
49,719,722,796,794
50,655,672,705,728
51,715,740,766,799
52,631,660,684,726
53,721,701,819,782
54,682,671,742,725
55,631,688,670,751
56,671,685,718,735
57,659,669,708,721
58,636,681,676,738
59,770,782,859,873
60,648,674,694,724
